Brand,Product,Product Type,Price,Rating,Image URL
ULTA,Velvet Matte Lip Crayon,Lipstick,Price$9.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2545068?id=E1waC0&fmt=jpg&fit=constrain,1&wid=92&hei=359&op_sharpen=1&resMode=bilin"
Tarte,Sugar Rush - Sugar Coat Velvet Liquid Lipstick,Lipstick,Price$15.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2539178?id=Ghha62&fmt=jpg&fit=constrain,1&wid=180&hei=360&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Vice Lipstick Metallized,Lipstick,Price$19.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2304005?id=NNyaj3&fmt=jpg&fit=constrain,1&wid=100&hei=359&op_sharpen=1&resMode=bilin"
Morphe,Mega Matte Nude Lipstick,Lipstick,Price$5.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2551249?id=ICxa83&fmt=jpg&fit=constrain,1&wid=225&hei=360&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Filler Instinct Plumping Lip Color,Lipstick,Price$8.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2562074?id=Vpfbd2&fmt=jpg&fit=constrain,1&wid=169&hei=361&op_sharpen=1&resMode=bilin"
Lime Crime,Metallic Velvetine Lipstick,Lipstick,Price$20.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2520699?id=R35a82&fmt=jpg&fit=constrain,1&wid=147&hei=361&op_sharpen=1&resMode=bilin"
L.A. Girl,Matte Flat Velvet Lipstick,Lipstick,Price$3.99,3.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2505328?id=OFvaF2&fmt=jpg&fit=constrain,1&wid=152&hei=360&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Full Pigment Matte & Satin Lipsticks,Lipstick,Price$20.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2570738?id=FvLap2&fmt=jpg&fit=constrain,1&wid=97&hei=359&op_sharpen=1&resMode=bilin"
Lipstick Queen,Frog Prince Lipstick Mini,Lipstick,Price$12.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2515516?id=oKOa83&fmt=jpg&fit=constrain,1&wid=191&hei=360&op_sharpen=1&resMode=bilin"
Clinique,Pop Lip Colour + Primer,Lipstick,Price$20.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2287154?id=tonaL0&fmt=jpg&fit=constrain,1&wid=185&hei=359&op_sharpen=1&resMode=bilin"
KKW BEAUTY,Classic Icon Crème Lipstick,Lipstick,Price$18.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548144?id=2t2bW3&fmt=jpg&fit=constrain,1&wid=212&hei=359&op_sharpen=1&resMode=bilin"
Revlon,ColorStay Overtime Lipcolor,Lipstick,Price$10.99,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2082670?id=wA5bp0&fmt=jpg&fit=constrain,1&wid=98&hei=361&op_sharpen=1&resMode=bilin"
Wet n Wild,MegaLast Liquid Catsuit Matte Lipstick,Lipstick,Price$5.49,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2518221?id=c6na10&fmt=jpg&fit=constrain,1&wid=210&hei=360&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Matte Lipstick,Lipstick,Price$6.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2242461?id=0zxal2&fmt=jpg&fit=constrain,1&wid=84&hei=359&op_sharpen=1&resMode=bilin"
Revlon,Super Lustrous Glass Shine Lipstick,Lipstick,Price$9.99,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2557086?id=VWlbU0&fmt=jpg&fit=constrain,1&wid=209&hei=360&op_sharpen=1&resMode=bilin"
Buxom,Full Force Plumping Lipstick White Russian,Lipstick,Price$20.00,3.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2565624?id=cgEa-2&fmt=jpg&fit=constrain,1&wid=260&hei=256&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Shout Loud Satin Lipstick,Lipstick,Price$8.50,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2557279?id=9Z-aw1&fmt=jpg&fit=constrain,1&wid=177&hei=360&op_sharpen=1&resMode=bilin"
It Cosmetics,Pillow Lips Cream Lipstick,Lipstick,Price$24.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2557679?id=9smbd2&fmt=jpg&fit=constrain,1&wid=160&hei=359&op_sharpen=1&resMode=bilin"
bareMinerals,Mineralist Hydra-Smoothing Lipstick,Lipstick,Price$20.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2561052?id=5lsbJ2&fmt=jpg&fit=constrain,1&wid=204&hei=359&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Lip Lingerie Push-Up Long-Lasting Lipstick,Lipstick,Price$9.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2546656?id=VfYaK3&fmt=jpg&fit=constrain,1&wid=158&hei=360&op_sharpen=1&resMode=bilin"
Buxom,Full Force Plumping Lipstick - '90s Nudes,Lipstick,Price$20.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2565623?id=wSabo0&fmt=jpg&fit=constrain,1&wid=180&hei=361&op_sharpen=1&resMode=bilin"
Lime Crime,Lip Pops Satin Lipstick,Lipstick,Price$20.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2567700?id=D8mb72&fmt=jpg&fit=constrain,1&wid=101&hei=359&op_sharpen=1&resMode=bilin"
ULTA,Radiant Shine Lipstick,Lipstick,Price$9.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2562344?id=i3RaQ3&fmt=jpg&fit=constrain,1&wid=64&hei=358&op_sharpen=1&resMode=bilin"
CoverGirl,Outlast All Day Lip Color,Lipstick,Price$10.99,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2275611?id=RWuaj1&fmt=jpg&fit=constrain,1&wid=240&hei=360&op_sharpen=1&resMode=bilin"
Milani,Color Statement Lipstick,Lipstick,Price$5.99,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2519967?id=Viva53&fmt=jpg&fit=constrain,1&wid=86&hei=359&op_sharpen=1&resMode=bilin"
Maybelline,SuperStay 24 Liquid Lipstick,Lipstick,Price$10.99,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2225241?id=vlIaC1&fmt=jpg&fit=constrain,1&wid=127&hei=360&op_sharpen=1&resMode=bilin"
NUDESTIX,Matinée to Soirée Kit by Allana Davison,Lipstick,Price$75.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2568444?id=Kb1bS0&fmt=jpg&fit=constrain,1&wid=260&hei=103&op_sharpen=1&resMode=bilin"
Buxom,Full Force Plumping Lipstick,Lipstick,Price$20.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2547453?id=3uNaf2&fmt=jpg&fit=constrain,1&wid=180&hei=361&op_sharpen=1&resMode=bilin"
MAC,Viva Glam Lipstick,Lipstick,Price$19.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2510449?id=1bZaO2&fmt=jpg&fit=constrain,1&wid=91&hei=362&op_sharpen=1&resMode=bilin"
KKW BEAUTY,Best of Pinks Lipstick Set,Lipstick,Price$65.00,3.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548154?id=Xanac2&fmt=jpg&fit=constrain,1&wid=260&hei=207&op_sharpen=1&resMode=bilin"
Ofra Cosmetics,Long Lasting Liquid Lipstick,Lipstick,Price$20.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2511181?id=-wfbi3&fmt=jpg&fit=constrain,1&wid=174&hei=361&op_sharpen=1&resMode=bilin"
Essence,This Is Nude Lipstick,Lipstick,Price$3.99,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2547646?id=ok-aI2&fmt=jpg&fit=constrain,1&wid=208&hei=361&op_sharpen=1&resMode=bilin"
Revlon,Super Lustrous Lipstick The Luscious Mattes,Lipstick,Price$8.49,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2557921?id=SouaW2&fmt=jpg&fit=constrain,1&wid=78&hei=362&op_sharpen=1&resMode=bilin"
